name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
GL0722,UN0078,GL0722,梵摩渝經,1,1,,,
GL0723,UN0151,GL0723,須摩提女經,1,1,,,
GL0724,UN0159,GL0724,佛說長者子六過出家經,1,1,,,
GL0725,UN0100,GL0725,廣義法門經,1,1,,,
GL0726,UN0075,GL0726,佛說須達經,1,1,,,
GL0727,UN0138,GL0727,佛說鴦崛髻經,1,1,,,
GL0728,UN0131,GL0728,佛說難提釋經,1,1,,,
GL0729,UN0124,GL0729,佛說相應相可經,1,1,,,
GL0730,UN0122,GL0730,佛說三轉法輪經,1,1,,,
GL0731,UN0105,GL0731,佛說五蘊皆空經,1,1,,,
GL0732,UN0167,GL0732,佛說四泥犁經,1,1,,,
GL0733,UN0112,GL0733,佛說水沫所漂經,1,1,,,
GL0734,UN0174,GL0734,舍衛國王夢見十事經,1,1,,,
GL0735,UN0175,GL0735,佛說舍衛國王十夢經,1,1,,,
GL0736,UN0118,GL0736,緣起經,1,1,,,
GL0737,UN0114,GL0737,佛說不自守意經,1,1,,,
GL0738,UN0106,GL0738,佛說七處三觀經,1,1,,,
GL0739,UN0168,GL0739,阿那邠邸化七子經,1,1,,,
GL0740,UN0158,GL0740,佛說阿難同學經,1,1,,,
GL0741,UN0121,GL0741,佛說轉法輪經,1,1,,,
GL0742,UN0130,GL0742,佛說八正道經,1,1,,,
GL0743,UN0111,GL0743,五陰譬喩經,1,1,,,
GL0744,UN0520,GL0744,治禪病秘要法,2,2,,,
GL0745,UN0104,GL0745,雜阿含經,1,1,,,
GL0746,UN0164,GL0746,佛說放牛經,1,1,,,
GL0747,UN0002,GL0747,七佛父母姓字經,1,1,,,
GL0748,UN0162,GL0748,佛說四未曾有法經,1,1,,,
GL0749,UN0161,GL0749,佛說力士移山經,1,1,,,
GL0750,UN0108,GL0750,佛說聖法印經,1,1,,,
GL0751,UN0163,GL0751,舍利弗摩訶目連遊四衢經,1,1,,,
GL0752,UN0133,GL0752,佛說馬有八態譬人經,1,1,,,
GL0753,UN0173,GL0753,佛母般泥洹經,1,1,,,
GL0754,UN0172,GL0754,佛說大愛道般泥洹經,1,1,,,
GL0755,UN0119,GL0755,佛說滿願子經,1,1,,,
GL0756,UN0166,GL0756,佛說十一想思念如來經,1,1,,,
GL0757,UN0132,GL0757,佛說馬有三相經,1,1,,,
GL0758,UN0176,GL0758,國王不梨先泥十夢經,1,1,,,
GL0759,UN0502,GL0759,佛說摩鄧女經,1,1,,,
GL0760,UN0553,GL0760,佛說鬼問目連經,1,1,,,
GL0761,UN0467,GL0761,佛說阿難問事佛吉凶經,1,1,,,
GL0762,UN0503,GL0762,佛說摩登女解形中六事經,1,1,,,
GL0763,UN0554,GL0763,餓鬼報應經,1,1,,,
GL0764,,GL0764,舍頭諫太子二十八宿經,1,1,,,
GL0765,UN0181,GL0765,修行本起經,2,2,,,
GL0766,UN1341,GL0766,摩登伽經,2,2,,,
GL0767,UN0552,GL0767,佛說雜藏經,1,1,,,
GL0768,UN0506,GL0768,五母子經,1,1,,,
GL0769,UN0507,GL0769,沙彌羅經,1,1,,,
GL0770,UN0469,GL0770,佛說阿難分別經,1,1,,,
GL0771,UN0170,GL0771,玉耶經,1,1,,,
GL0772,UN0169,GL0772,佛說玉耶女經,1,1,,,
GL0773,UN0468,GL0773,佛說慢法經,1,1,,,
GL0774,UN0171,GL0774,佛說阿遫達經,1,1,,,
GL0775,UN0182,GL0775,佛說太子瑞應本起經,2,2,,,
GL0776,UN0493,GL0776,佛說長者音悅經,1,1,,,
GL0777,UN0180,GL0777,過去現在因果經,4,4,,,
GL0778,UN0579,GL0778,四十二章經,1,1,,,
GL0779,UN0037,GL0779,佛說海八德經,1,1,,,
GL0780,UN0517,GL0780,龍王兄弟經,1,1,,,
GL0781,UN0544,GL0781,佛說罪業應報敎化地獄經,1,1,,,
GL0782,UN0504,GL0782,佛說女祇域因緣經,1,1,,,
GL0783,UN0036,GL0783,法海經,1,1,,,
GL0784,UN0508,GL0784,佛說七女經,1,1,,,
GL0785,UN0079,GL0785,佛說蓱沙王五願經,1,1,,,
GL0786,UN0513,GL0786,佛說八師經,1,1,,,
GL0787,UN0156,GL0787,佛說琉璃王經,1,1,,,
GL0788,UN0559,GL0788,所欲致患經,1,1,,,
GL0789,UN0556,GL0789,佛說堅意經,1,1,,,
GL0790,UN0152,GL0790,佛說三摩竭經,1,1,,,
GL0791,UN0482,GL0791,阿闍世王問五逆經,1,1,,,
